issue_id,action_time,action,what,user,milestone,when,date_convert
1,4/19/17,labeled,requirement,user0,,1492569396,4/19/17
1,2/17/17,moved_columns_in_project,no label,user0,,1487299101,2/17/17
1,2/17/17,closed,no label,user0,,1487298547,2/17/17
1,2/10/17,subscribed,no label,user1,,1486734853,2/10/17
1,2/10/17,mentioned,no label,user1,,1486734853,2/10/17
1,2/10/17,subscribed,no label,user2,,1486734853,2/10/17
1,2/10/17,mentioned,no label,user2,,1486734853,2/10/17
1,2/10/17,assigned,no label,user2,,1486690952,2/10/17
1,2/10/17,assigned,no label,user1,,1486690952,2/10/17
1,2/9/17,added_to_project,no label,user0,,1486674364,2/9/17
1,2/9/17,assigned,no label,user0,,1486672853,2/9/17
2,4/19/17,labeled,requirement,user0,,1492569410,4/19/17
2,2/13/17,moved_columns_in_project,no label,user0,,1486996009,2/13/17
2,2/13/17,closed,no label,user0,,1486996001,2/13/17
2,2/13/17,moved_columns_in_project,no label,user0,,1486995984,2/13/17
2,2/9/17,added_to_project,no label,user0,,1486674374,2/9/17
2,2/9/17,assigned,no label,user0,,1486672899,2/9/17
3,4/19/17,labeled,requirement,user0,,1492569417,4/19/17
3,2/13/17,closed,no label,user0,,1486995969,2/13/17
3,2/13/17,moved_columns_in_project,no label,user0,,1486995963,2/13/17
3,2/13/17,subscribed,no label,user2,,1486950498,2/13/17
3,2/13/17,mentioned,no label,user2,,1486950498,2/13/17
3,2/13/17,subscribed,no label,user1,,1486950498,2/13/17
3,2/13/17,mentioned,no label,user1,,1486950498,2/13/17
3,2/9/17,added_to_project,no label,user0,,1486674372,2/9/17
3,2/9/17,assigned,no label,user0,,1486672933,2/9/17
4,2/16/17,added_to_project,no label,user0,,1487253802,2/16/17
4,2/16/17,closed,no label,user0,,1487253656,2/16/17
4,2/14/17,assigned,no label,user0,,1487111845,2/14/17
4,2/14/17,labeled,enhancement,user0,,1487111845,2/14/17
5,2/16/17,added_to_project,no label,user0,,1487253804,2/16/17
5,2/16/17,closed,no label,user0,,1487253665,2/16/17
5,2/14/17,labeled,enhancement,user0,,1487111940,2/14/17
5,2/14/17,assigned,no label,user0,,1487111863,2/14/17
6,2/17/17,moved_columns_in_project,no label,user0,,1487299095,2/17/17
6,2/17/17,moved_columns_in_project,no label,user0,,1487299092,2/17/17
6,2/17/17,closed,no label,user0,,1487295719,2/17/17
6,2/16/17,added_to_project,no label,user0,,1487253823,2/16/17
6,2/14/17,labeled,enhancement,user0,,1487111935,2/14/17
6,2/14/17,assigned,no label,user0,,1487111887,2/14/17
7,2/17/17,moved_columns_in_project,no label,user0,,1487299089,2/17/17
7,2/17/17,closed,no label,user0,,1487298525,2/17/17
7,2/16/17,added_to_project,no label,user0,,1487253827,2/16/17
7,2/14/17,labeled,enhancement,user0,,1487111929,2/14/17
7,2/14/17,assigned,no label,user0,,1487111916,2/14/17
8,2/17/17,moved_columns_in_project,no label,user0,,1487299116,2/17/17
8,2/17/17,closed,no label,user1,,1487298718,2/17/17
8,2/16/17,added_to_project,no label,user0,,1487253834,2/16/17
8,2/15/17,labeled,bug,user1,,1487147336,2/15/17
8,2/15/17,assigned,no label,user0,,1487147308,2/15/17
9,2/16/17,closed,no label,user0,,1487253647,2/16/17
9,2/16/17,merged,no label,user0,,1487253647,2/16/17
9,2/16/17,referenced,no label,user0,,1487253647,2/16/17
10,2/17/17,closed,no label,user0,,1487295700,2/17/17
10,2/17/17,merged,no label,user0,,1487295700,2/17/17
10,2/17/17,referenced,no label,user0,,1487295700,2/17/17
11,2/17/17,closed,no label,user0,,1487298515,2/17/17
11,2/17/17,merged,no label,user0,,1487298515,2/17/17
11,2/17/17,referenced,no label,user0,,1487298515,2/17/17
12,2/17/17,closed,no label,user0,,1487341172,2/17/17
12,2/17/17,merged,no label,user0,,1487341172,2/17/17
12,2/17/17,referenced,no label,user0,,1487341172,2/17/17
13,2/20/17,added_to_project,no label,user0,,1487612278,2/20/17
13,2/18/17,closed,no label,user1,,1487437401,2/18/17
13,2/18/17,assigned,no label,user2,,1487406130,2/18/17
13,2/18/17,assigned,no label,user0,,1487406130,2/18/17
13,2/18/17,assigned,no label,user1,,1487406129,2/18/17
13,2/18/17,labeled,question,user1,,1487406129,2/18/17
14,2/20/17,moved_columns_in_project,no label,user0,,1487612334,2/20/17
14,2/20/17,added_to_project,no label,user0,,1487612254,2/20/17
14,2/20/17,closed,no label,user0,,1487596944,2/20/17
14,2/20/17,subscribed,no label,user1,,1487596944,2/20/17
14,2/20/17,mentioned,no label,user1,,1487596944,2/20/17
14,2/20/17,labeled,bug,user1,,1487574669,2/20/17
14,2/20/17,assigned,no label,user0,,1487574655,2/20/17
15,2/20/17,closed,no label,user0,,1487612220,2/20/17
15,2/20/17,merged,no label,user0,,1487612220,2/20/17
15,2/20/17,referenced,no label,user0,,1487612220,2/20/17
16,2/23/17,closed,no label,user0,,1487859952,2/23/17
16,2/23/17,merged,no label,user0,,1487859952,2/23/17
16,2/23/17,referenced,no label,user0,,1487859952,2/23/17
17,2/23/17,moved_columns_in_project,no label,user0,,1487885329,2/23/17
17,2/23/17,closed,no label,user0,,1487885310,2/23/17
17,2/23/17,added_to_project,no label,user0,,1487860042,2/23/17
