issue_id,action_time,action,what,user,milestone,when
1,1/26/17,closed,no label,user0,,1485467916
2,2/7/17,closed,no label,user0,,1486426124
2,1/20/17,reopened,no label,user1,,1484878010
2,1/20/17,closed,no label,user1,,1484877984
3,2/7/17,closed,no label,user0,,1486426174
4,2/7/17,closed,no label,user0,,1486426266
5,2/9/17,subscribed,no label,user1,,1486658701
5,2/9/17,mentioned,no label,user1,,1486658701
5,2/2/17,assigned,no label,user4,,1485998309
6,2/23/17,closed,no label,user3,Learn Android,1487889515
6,2/7/17,added_to_project,no label,user3,Learn Android,1486505621
6,2/7/17,demilestoned,no label,user0,Learn Android,1486426671
6,2/7/17,milestoned,no label,user0,Learn Android,1486426671
6,2/7/17,demilestoned,no label,user0,Learn Android,1486426623
6,2/7/17,milestoned,no label,user0,Learn Android,1486426623
6,2/7/17,demilestoned,no label,user0,Learn Android,1486426371
6,2/7/17,milestoned,no label,user0,Learn Android,1486426371
6,2/6/17,demilestoned,no label,user3,Learn Android,1486346564
6,2/6/17,milestoned,no label,user3,Learn Android,1486346564
6,2/6/17,labeled,help wanted,user3,Learn Android,1486346239
6,2/6/17,labeled,enhancement,user3,Learn Android,1486346239
6,2/6/17,demilestoned,no label,user3,Learn Android,1486346163
6,2/6/17,milestoned,no label,user3,Learn Android,1486346163
6,2/6/17,demilestoned,no label,user3,Learn Android,1486346129
6,2/6/17,milestoned,no label,user3,Learn Android,1486346129
6,2/6/17,milestoned,no label,user3,Learn Android,1486346111
6,2/6/17,assigned,no label,user1,Learn Android,1486345981
6,2/6/17,assigned,no label,user0,Learn Android,1486345981
6,2/6/17,assigned,no label,user3,Learn Android,1486345965
7,2/23/17,closed,no label,user3,,1487889515
7,2/7/17,unassigned,no label,user3,,1486505813
7,2/7/17,added_to_project,no label,user3,,1486505617
7,2/7/17,assigned,no label,user3,,1486505056
7,2/7/17,assigned,no label,user1,,1486505056
7,2/7/17,assigned,no label,user0,,1486505056
7,2/7/17,labeled,help wanted,user3,,1486505056
8,2/23/17,closed,no label,user3,,1487889515
8,2/7/17,unassigned,no label,user3,,1486505862
8,2/7/17,unassigned,no label,user1,,1486505799
8,2/7/17,unassigned,no label,user0,,1486505799
8,2/7/17,added_to_project,no label,user3,,1486505610
8,2/7/17,assigned,no label,user3,,1486505394
8,2/7/17,assigned,no label,user1,,1486505394
8,2/7/17,assigned,no label,user0,,1486505394
8,2/7/17,unassigned,no label,user3,,1486505352
8,2/7/17,unassigned,no label,user1,,1486505338
8,2/7/17,unassigned,no label,user0,,1486505338
8,2/7/17,assigned,no label,user3,,1486505190
8,2/7/17,assigned,no label,user1,,1486505190
8,2/7/17,assigned,no label,user0,,1486505190
8,2/7/17,unlabeled,enhancement,user3,,1486505184
8,2/7/17,labeled,help wanted,user3,,1486505174
8,2/7/17,labeled,enhancement,user3,,1486505174
9,2/19/17,closed,no label,user0,Facial/voice Recognition API,1487464951
9,2/16/17,assigned,no label,user0,Facial/voice Recognition API,1487274790
9,2/15/17,milestoned,no label,user0,Facial/voice Recognition API,1487129202
10,2/19/17,closed,no label,user0,Design,1487467019
10,2/16/17,assigned,no label,user0,Design,1487274747
10,2/16/17,milestoned,no label,user0,Design,1487274739
11,2/19/17,closed,no label,user0,Implementation - Facial recognition,1487467304
11,2/16/17,assigned,no label,user0,Implementation - Facial recognition,1487275233
11,2/16/17,milestoned,no label,user0,Implementation - Facial recognition,1487275233
12,2/19/17,closed,no label,user0,Learn Android,1487465192
12,2/19/17,assigned,no label,user0,Learn Android,1487465010
12,2/19/17,milestoned,no label,user0,Learn Android,1487465010
13,2/19/17,closed,no label,user0,Design,1487465562
13,2/19/17,milestoned,no label,user0,Design,1487465520
14,2/19/17,assigned,no label,user0,Design,1487466978
14,2/19/17,milestoned,no label,user0,Design,1487466978
15,2/19/17,closed,no label,user0,Implementation - Facial recognition,1487467453
