issue_id,when,action,what,user,milestone
3,2017-04-19T02:36:57Z,labeled,requirement,user1,
20,2017-03-09T19:38:09Z,labeled,bug,user2,Demo Day
1,2017-04-19T02:36:36Z,labeled,requirement,user1,
24,2017-03-27T01:21:53Z,labeled,bug,user2,
2,2017-04-19T02:36:50Z,labeled,requirement,user1,
19,2017-03-09T00:25:10Z,labeled,enhancement,user2,Demo Day
17,2017-02-23T14:27:11Z,labeled,enhancement,user1,
14,2017-02-20T07:11:09Z,labeled,bug,user2,
18,2017-02-28T17:55:36Z,labeled,enhancement,user1,
13,2017-02-18T08:22:09Z,labeled,question,user2,
8,2017-02-15T08:28:56Z,labeled,bug,user2,
5,2017-02-14T22:39:00Z,labeled,enhancement,user1,
6,2017-02-14T22:38:55Z,labeled,enhancement,user1,
4,2017-02-14T22:37:25Z,labeled,enhancement,user1,
7,2017-02-14T22:38:49Z,labeled,enhancement,user1,
