week,commits,additions,additions_per_commit,user1,user2,user3,user4
1484438400,25,924,36,4,5,2,14
1485043200,18,696,38,9,1,5,3
1485648000,2,12,6,0,1,0,1
1486252800,2,23,11,0,0,0,2
1486857600,0,0,0,0,0,0,0
1487462400,19,4696,247,1,2,11,5
1488067200,12,6762,563,3,4,4,1
1488672000,1,4,4,0,0,0,1
1489276800,2,142,71,0,2,0,0
1489881600,0,0,0,0,0,0,0
1490486400,2,40368,20184,1,1,0,0
1491091200,19,42283,2225,0,6,0,13
1491696000,0,0,0,0,0,0,0
1492300800,0,0,0,0,0,0,0
1492905600,0,0,0,0,0,0,0
