issue_id,when,action,what,user,milestone
2,2017-02-06T16:08:45Z,labeled,easy,user2,Prototype Design
2,2017-02-06T16:08:45Z,labeled,core,user2,Prototype Design
3,2017-02-06T16:08:31Z,labeled,medium,user2,Prototype Design
3,2017-02-06T16:08:31Z,labeled,core,user2,Prototype Design
4,2017-02-06T16:08:59Z,labeled,core,user2,Technical Design
4,2017-02-06T16:08:59Z,labeled,medium,user2,Technical Design
5,2017-02-06T16:09:29Z,labeled,hard,user2,Technical Design
5,2017-02-06T16:09:29Z,labeled,core,user2,Technical Design
7,2017-02-06T16:18:57Z,labeled,core,user3,
7,2017-02-06T16:19:06Z,labeled,question,user3,
7,2017-02-06T16:19:34Z,unlabeled,core,user3,
9,2017-02-07T22:10:16Z,labeled,hard,user1,
10,2017-02-19T17:54:28Z,labeled,note,user2,
11,2017-02-19T18:07:17Z,labeled,help wanted,user2,
12,2017-02-20T03:59:41Z,labeled,help wanted,user4,First Round Developing and Testing
13,2017-02-21T20:18:49Z,labeled,medium,user2,
15,2017-02-24T21:33:40Z,labeled,help wanted,user2,
15,2017-02-24T21:33:40Z,labeled,question,user2,
16,2017-02-28T00:57:36Z,labeled,help wanted,user1,
19,2017-03-10T14:58:22Z,labeled,help wanted,user1,
20,2017-03-15T14:24:45Z,labeled,enhancement,user1,
20,2017-03-15T14:24:45Z,labeled,help wanted,user1,
21,2017-03-18T15:17:15Z,labeled,easy,user1,
21,2017-03-18T15:17:15Z,labeled,core,user1,
